x generation elapsed_ms log10_p sat one_minus_r2_train one_minus_r2_val one_minus_r2_third
34040 34040 1171338 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
34240 34240 1178445 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
34440 34440 1185463 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
34640 34640 1192446 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
34840 34840 1199433 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
35040 35040 1206411 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
35240 35240 1213472 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
35440 35440 1220336 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
35640 35640 1227280 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
35840 35840 1234282 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
36040 36040 1241120 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
36240 36240 1248183 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
36440 36440 1255275 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
36640 36640 1262163 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
36840 36840 1269457 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
37040 37040 1276564 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
37240 37240 1283540 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
37440 37440 1290560 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
37640 37640 1297491 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
37840 37840 1304365 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
38040 38040 1311340 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
38240 38240 1318465 -1.349514352512e1 nan 4.512279616620e-8 6.729123036564e-9 7.460370659828e-3
38280 38280 1319909 -1.349585181974e1 nan 4.352969196209e-8 6.946240360683e-9 7.461120374501e-3
38480 38480 1326954 -1.349585181974e1 nan 4.352969196209e-8 6.946240360683e-9 7.461120374501e-3
38680 38680 1333875 -1.349585181974e1 nan 4.352969196209e-8 6.946240360683e-9 7.461120374501e-3
38880 38880 1340810 -1.349585181974e1 nan 4.352969196209e-8 6.946240360683e-9 7.461120374501e-3
39080 39080 1347818 -1.349585181974e1 nan 4.352969196209e-8 6.946240360683e-9 7.461120374501e-3
39280 39280 1354886 -1.349585181974e1 nan 4.352969196209e-8 6.946240360683e-9 7.461120374501e-3
39480 39480 1362087 -1.349585181974e1 nan 4.352969196209e-8 6.946240360683e-9 7.461120374501e-3
39680 39680 1369109 -1.349585181974e1 nan 4.352969196209e-8 6.946240360683e-9 7.461120374501e-3
39880 39880 1376190 -1.349585181974e1 nan 4.352969196209e-8 6.946240360683e-9 7.461120374501e-3
40080 40080 1383173 -1.349585181974e1 nan 4.352969196209e-8 6.946240360683e-9 7.461120374501e-3
40280 40280 1390319 -1.349585181974e1 nan 4.352969196209e-8 6.946240360683e-9 7.461120374501e-3
40480 40480 1397421 -1.349585181974e1 nan 4.352969196209e-8 6.946240360683e-9 7.461120374501e-3
40680 40680 1404513 -1.349585181974e1 nan 4.352969196209e-8 6.946240360683e-9 7.461120374501e-3
40880 40880 1411666 -1.349585181974e1 nan 4.352969196209e-8 6.946240360683e-9 7.461120374501e-3
41080 41080 1418644 -1.349585181974e1 nan 4.352969196209e-8 6.946240360683e-9 7.461120374501e-3
41280 41280 1425585 -1.349585181974e1 nan 4.352969196209e-8 6.946240360683e-9 7.461120374501e-3
41480 41480 1432612 -1.349585181974e1 nan 4.352969196209e-8 6.946240360683e-9 7.461120374501e-3
41680 41680 1439696 -1.349585181974e1 nan 4.352969196209e-8 6.946240360683e-9 7.461120374501e-3
41880 41880 1446708 -1.349585181974e1 nan 4.352969196209e-8 6.946240360683e-9 7.461120374501e-3
41960 41960 1450683 -1.349620615505e1 nan 4.510792794843e-8 6.774557359535e-9 7.460049819201e-3
